"id","region","item_code","item_name","item_value","unit","etl_time","dm_update_time","dm_load_time","yr"
"611082a8-7f36-8b3f-fc75-fa163e9bb5e8",HKSAR,bi_p_216,Service Reservoir Supply Volume,708.58861,MCM,2026-08-21 10:31:45.486,2026-08-21 10:31:45.486,2026-08-21 10:31:45.486,2018
"61c52a5a-7f36-8b3f-fc75-fa163e9bb5e8",K,bi_p_217,Service Reservoir Supply Volume,137.64252,MCM,2026-08-21 10:31:45.486,2026-08-21 10:31:45.486,2026-08-21 10:31:45.486,2017
"61c59008-7f36-8b3f-fc75-fa163e9bb5e8",NTW,bi_p_217,Service Reservoir Supply Volume,119.33048,MCM,2026-08-21 10:31:45.486,2026-08-21 10:31:45.486,2026-08-21 10:31:45.486,2005
"61c6bafa-7f36-8b3f-fc75-fa163e9bb5e8",HKI,bi_p_217,Service Reservoir Supply Volume,133.85779,MCM,2026-08-21 10:31:45.486,2026-08-21 10:31:45.486,2026-08-21 10:31:45.486,2010
"61c779fe-7f36-8b3f-fc75-fa163e9bb5e8",NTW,bi_p_217,Service Reservoir Supply Volume,124.30493,MCM,2026-08-21 10:31:45.486,2026-08-21 10:31:45.486,2026-08-21 10:31:45.486,2008
"61c7d912-7f36-8b3f-fc75-fa163e9bb5e8",K,bi_p_217,Service Reservoir Supply Volume,228.99208,MCM,2026-08-21 10:31:45.486,2026-08-21 10:31:45.486,2026-08-21 10:31:45.486,2022
"61c8fc3e-7f36-8b3f-fc75-fa163e9bb5e8",NTW,bi_p_217,Service Reservoir Supply Volume,129.59157,MCM,2026-08-21 10:31:45.486,2026-08-21 10:31:45.486,2026-08-21 10:31:45.486,2022
"61c95d82-7f36-8b3f-fc75-fa163e9bb5e8",NTE,bi_p_217,Service Reservoir Supply Volume,292.92409,MCM,2026-08-21 10:31:45.486,2026-08-21 10:31:45.486,2026-08-21 10:31:45.486,2017
"61c9be3a-7f36-8b3f-fc75-fa163e9bb5e8",NTE,bi_p_217,Service Reservoir Supply Volume,316.53373,MCM,2026-08-21 10:31:45.486,2026-08-21 10:31:45.486,2026-08-21 10:31:45.486,2024
"61cba402-7f36-8b3f-fc75-fa163e9bb5e8",HKI,bi_p_217,Service Reservoir Supply Volume,106.55275,MCM,2026-08-21 10:31:45.486,2026-08-21 10:31:45.486,2026-08-21 10:31:45.486,2016
"61cc09b0-7f36-8b3f-fc75-fa163e9bb5e8",K,bi_p_217,Service Reservoir Supply Volume,169.62876,MCM,2026-08-21 10:31:45.486,2026-08-21 10:31:45.486,2026-08-21 10:31:45.486,2019
"61cd2f8e-7f36-8b3f-fc75-fa163e9bb5e8",NTW,bi_p_217,Service Reservoir Supply Volume,162.63319,MCM,2026-08-21 10:31:45.486,2026-08-21 10:31:45.486,2026-08-21 10:31:45.486,2006
