"id","region","item_code","item_name","item_value","unit","etl_time","yr","dm_update_time","dm_load_time"
dda7a30e-fe72-8c3e-7767-fa163e9bc3ab,HKI,bi_p_252,Impounding Reservoir Capacity mcm,34.25600,mcm,2026-03-10 13:49:45.366,2022,2026-03-10 13:49:45.366,2026-03-10 13:49:45.366
e0111454-fe72-8c3e-7767-fa163e9bc3ab,HKI,bi_p_252,Impounding Reservoir Capacity mcm,34.25600,mcm,2026-03-10 13:49:49.435,2023,2026-03-10 13:49:49.435,2026-03-10 13:49:49.435
e36f746a-fe72-8c3e-7767-fa163e9bc3ab,HKI,bi_p_252,Impounding Reservoir Capacity mcm,34.25600,mcm,2026-03-10 13:49:55.129,2024,2026-03-10 13:49:55.129,2026-03-10 13:49:55.129
e62caace-fe72-8c3e-7767-fa163e9bc3ab,HKI,bi_p_252,Impounding Reservoir Capacity mcm,34.25600,mcm,2026-03-10 13:49:59.721,2025,2026-03-10 13:49:59.721,2026-03-10 13:49:59.721
e8de1a32-fe72-8c3e-7767-fa163e9bc3ab,HKI,bi_p_252,Impounding Reservoir Capacity mcm,34.25600,mcm,2026-03-10 13:50:04.203,2026,2026-03-10 13:50:04.203,2026-03-10 13:50:04.203
"72d4e148-fe5b-8c3e-7767-fa163e9bc3ab",HKSAR,bi_p_250,Raw Water Propose Supply Volume,989800.00000,Ml,2026-03-10 11:02:07.680,2018,2026-03-10 11:02:07.680,2026-03-10 11:02:07.680
"72d573ce-fe5b-8c3e-7767-fa163e9bc3ab",HKSAR,bi_p_250,Raw Water Propose Supply Volume,943730.00000,Ml,2026-03-10 11:02:07.680,2011,2026-03-10 11:02:07.680,2026-03-10 11:02:07.680
"72d5b5dc-fe5b-8c3e-7767-fa163e9bc3ab",HKSAR,bi_p_250,Raw Water Propose Supply Volume,1015785.00000,Ml,2026-03-10 11:02:07.680,2025,2026-03-10 11:02:07.680,2026-03-10 11:02:07.680
"72d5f376-fe5b-8c3e-7767-fa163e9bc3ab",HKSAR,bi_p_250,Raw Water Propose Supply Volume,995250.00000,Ml,2026-03-10 11:02:07.680,2019,2026-03-10 11:02:07.680,2026-03-10 11:02:07.680
"72d63390-fe5b-8c3e-7767-fa163e9bc3ab",HKSAR,bi_p_250,Raw Water Propose Supply Volume,964160.00000,Ml,2026-03-10 11:02:07.680,2008,2026-03-10 11:02:07.680,2026-03-10 11:02:07.680
"72d6763e-fe5b-8c3e-7767-fa163e9bc3ab",HKSAR,bi_p_250,Raw Water Propose Supply Volume,951250.00000,Ml,2026-03-10 11:02:07.680,2015,2026-03-10 11:02:07.680,2026-03-10 11:02:07.680
"72d6b7d4-fe5b-8c3e-7767-fa163e9bc3ab",HKSAR,bi_p_250,Raw Water Propose Supply Volume,1043400.00000,Ml,2026-03-10 11:02:07.680,2021,2026-03-10 11:02:07.680,2026-03-10 11:02:07.680
